store_name,LINK_ID,lat_x,lot_x,유동인구_평균,lat_y,lot_y,일자,링크아이디,거리,차선수,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
공릉역,1100000700.0,37.62633699999999,127.072252,42818.0,37.62633699999999,127.072252,20210717.0,1100000700.0,397.0,2.0,29.080000000000002,32.445,34.9075,30.365,33.455000000000005,29.54,26.372499999999995,24.2,21.956,22.172,22.223999999999997,20.016,18.284,20.522,20.389999999999997,20.662,20.113999999999997,20.796,20.842000000000002,23.576,26.266,27.137999999999998,28.078000000000003,30.135999999999996
광나루,1040003900.0,37.547442,127.105934,36473.0,37.547442,127.105934,20210717.0,1040003900.0,1616.0,2.0,28.455,33.2775,34.475,28.5875,35.2125,32.145,31.0575,30.342000000000002,27.952000000000005,26.604000000000003,22.876000000000005,22.444000000000003,22.64,21.639999999999997,22.448,21.428,23.28,25.058,25.656,26.52,27.014,27.986,27.029999999999994,29.669999999999995
광운대,1100008400.0,37.6231479,127.0607009,23363.0,37.6231479,127.0607009,20210717.0,1100008400.0,1097.0,1.0,27.252499999999998,30.335,28.259999999999998,30.79,32.44,24.659999999999997,27.627499999999998,25.218,24.378000000000007,24.235999999999997,21.764000000000003,21.558,21.996000000000002,22.75,21.794,21.298,22.246,21.445999999999998,21.728,21.776,21.064,22.506,23.973999999999997,25.804000000000002
광장,1040011600.0,37.542517999999994,127.099651,36473.0,37.542517999999994,127.099651,20210717.0,1040011600.0,523.0,3.0,27.715000000000003,23.3975,25.3925,29.115,31.3775,20.847500000000004,24.5725,23.983999999999998,23.79,21.586,18.08,17.110000000000003,18.254,16.742,17.927999999999997,18.095999999999997,21.474,19.112000000000002,20.738,20.946,21.476,23.648,21.419999999999998,21.968
광화문D타워,1000006700.0,37.5714,126.9788297,22874.0,37.5714,126.9788297,20210717.0,1000006700.0,251.0,1.0,21.775,22.645,24.7325,25.060000000000002,25.8375,25.9725,25.927500000000002,22.272000000000002,21.273999999999997,18.974,17.802,16.622,14.77,14.056000000000001,15.224,14.404,13.648,14.483999999999998,14.325999999999999,14.931999999999999,17.724,17.678,19.136000000000003,19.586000000000002
광화문우체국,1000001400.0,37.569854,126.978083,28483.0,37.569854,126.978083,20210717.0,1000001400.0,204.0,4.0,25.655,29.4125,29.827499999999997,30.104999999999997,29.7375,28.4275,25.965,24.936,24.064,23.592000000000002,23.394,22.110000000000003,19.493999999999996,20.116,21.03,22.631999999999998,24.247999999999998,22.926,24.698,26.922000000000004,25.006,23.332,23.038,24.676
교대,1210019500.0,37.49236109999999,127.01422069999998,31186.0,37.49236109999999,127.01422069999998,20210717.0,1210019500.0,597.0,3.0,22.657500000000002,24.317500000000003,25.1025,28.737500000000004,27.1025,26.59,24.607499999999998,24.98,29.052,27.137999999999998,23.43,19.494,18.916,20.15,19.184,21.468,20.976,22.448,23.877999999999997,25.27,26.009999999999998,25.895999999999997,23.256,23.377999999999997
교대법원,1210022450.0,37.49632900000002,127.01333600000001,41208.0,37.49632900000002,127.01333600000001,20210717.0,1210022450.0,998.0,3.0,31.127499999999998,29.505,28.58375,28.01375,29.011249999999997,29.015,28.627499999999994,29.141000000000002,29.051,26.069,24.241000000000003,22.945,19.521,19.558,21.588,22.601000000000003,23.02,22.776999999999997,24.252000000000002,26.889999999999997,27.375,28.424,28.291000000000004,29.528999999999996
교대역,1210022100.0,37.494206999999996,127.01394,31186.0,37.494206999999996,127.01394,20210717.0,1210022100.0,998.0,2.75,31.625,31.384375,31.09625,31.568125,32.34375,30.752500000000005,30.203749999999992,29.559999999999995,29.729999999999997,26.9565,25.019500000000004,23.4265,20.205500000000004,20.011000000000003,21.552,22.305,22.199499999999993,21.9855,23.5145,26.6065,27.2,28.0865,28.1505,30.207000000000004
구로하이엔드,1160003800.0,NaN,NaN,39268.0,37.481618,126.893136,20210717.0,1160003800.0,2061.0,3.0,34.275,35.6175,36.935,37.584999999999994,37.4925,35.410000000000004,36.43000000000001,37.44799999999999,35.18,32.715999999999994,31.121999999999996,30.011999999999993,30.508,29.206,30.53,27.236,26.564,23.93,29.421999999999997,31.04,31.874000000000002,31.674,30.82,32.356
