,LINK_ID,store_name,store_addr,lat_x,lot_x,도로_x,layer,path,지역,구로구,동,도로_y,유동인구_평균,lat_y,lot_y,일자,요일,도로명,링크아이디,시점명,종점명,방향,거리,차선수,기능유형구분,도심/외곽구분,권역구분,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
159,1220024100,국기원사거리,서울특별시 강남구 테헤란로 125 (역삼동)1522-3232,37.499517,127.031495,테헤란로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,역삼1동,테헤란로,97922,37.499517,127.031495,20210705,월,테헤란로,1220024100,국기원앞,역삼역,하행,557,4,주간선도로,외곽,강남구,29.11,27.21,27.13,29.17,32.07,29.07,25.9,24.7,21.7,19.84,17.98,16.69,17.3,14.58,13.29,12.41,13.68,14.23,15.18,17.55,17.36,19.09,18.46,23.06
166,1220024100,국기원사거리,서울특별시 강남구 테헤란로 125 (역삼동)1522-3232,37.499517,127.031495,테헤란로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,역삼1동,테헤란로,97922,37.499517,127.031495,20210712,월,테헤란로,1220024100,국기원앞,역삼역,하행,557,4,주간선도로,외곽,강남구,30.25,28.92,29.25,33.49,32.62,25.9,26.75,25.42,22.23,20.14,19.46,17.79,18.0,15.51,14.33,12.75,14.2,14.38,13.6,15.24,17.9,19.27,17.99,21.89
173,1220024100,국기원사거리,서울특별시 강남구 테헤란로 125 (역삼동)1522-3232,37.499517,127.031495,테헤란로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,역삼1동,테헤란로,97922,37.499517,127.031495,20210719,월,테헤란로,1220024100,국기원앞,역삼역,하행,557,4,주간선도로,외곽,강남구,27.93,29.62,27.36,38.08,32.22,30.16,27.35,22.86,20.42,19.54,18.93,17.42,15.04,13.85,11.59,10.66,11.75,8.8,10.48,11.58,18.6,19.38,20.02,23.15
180,1220024100,국기원사거리,서울특별시 강남구 테헤란로 125 (역삼동)1522-3232,37.499517,127.031495,테헤란로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,역삼1동,테헤란로,97922,37.499517,127.031495,20210726,월,테헤란로,1220024100,국기원앞,역삼역,하행,557,4,주간선도로,외곽,강남구,28.99,30.6,31.53,32.2,30.07,32.85,29.34,24.43,21.24,19.96,19.46,16.61,16.07,15.02,15.29,14.59,14.12,11.02,9.74,11.14,17.68,19.46,20.65,20.38
190,1220018400,스탈릿대치R,서울특별시 강남구 남부순환로 2947 (대치동)1522-3232,37.494668,127.062583,남부순환로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,대치1동,남부순환로,28358,37.494668,127.062583,20210705,월,남부순환로,1220018400,대치역,도곡역,하행,798,4,주간선도로,외곽,강남구,31.59,37.12,36.66,36.08,33.97,38.57,35.88,26.23,16.76,16.21,20.05,20.13,20.23,21.39,20.3,17.49,17.29,16.21,16.69,19.34,21.11,21.79,24.76,31.77
197,1220018400,스탈릿대치R,서울특별시 강남구 남부순환로 2947 (대치동)1522-3232,37.494668,127.062583,남부순환로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,대치1동,남부순환로,28358,37.494668,127.062583,20210712,월,남부순환로,1220018400,대치역,도곡역,하행,798,4,주간선도로,외곽,강남구,32.25,35.82,37.49,36.38,34.8,38.7,33.82,26.56,20.38,17.78,19.97,20.54,19.69,20.15,21.79,20.4,20.98,18.57,19.66,20.6,21.8,22.49,24.34,32.16
204,1220018400,스탈릿대치R,서울특별시 강남구 남부순환로 2947 (대치동)1522-3232,37.494668,127.062583,남부순환로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,대치1동,남부순환로,28358,37.494668,127.062583,20210719,월,남부순환로,1220018400,대치역,도곡역,하행,798,4,주간선도로,외곽,강남구,29.14,35.24,39.32,40.94,37.66,36.36,37.03,27.98,22.33,17.87,18.3,18.56,19.31,18.55,17.33,16.42,16.74,14.84,15.69,18.17,21.25,22.35,23.4,32.06
211,1220018400,스탈릿대치R,서울특별시 강남구 남부순환로 2947 (대치동)1522-3232,37.494668,127.062583,남부순환로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,대치1동,남부순환로,28358,37.494668,127.062583,20210726,월,남부순환로,1220018400,대치역,도곡역,하행,798,4,주간선도로,외곽,강남구,32.25,39.06,44.08,38.82,36.23,40.84,39.7,32.77,22.61,18.13,18.95,19.17,20.71,19.2,19.7,19.84,20.42,17.76,18.93,20.71,22.93,23.82,22.89,30.23
221,1220021800,스탈릿대치R,서울특별시 강남구 남부순환로 2947 (대치동)1522-3232,37.494668,127.062583,남부순환로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,대치1동,남부순환로,28358,37.494668,127.062583,20210705,월,삼성로,1220021800,은마아파트입구,대치역,상행,527,4,보조간선도로,외곽,강남구,35.76,34.49,33.04,37.41,43.02,28.91,25.27,19.87,16.47,16.74,17.63,19.08,19.95,19.11,17.06,14.78,11.24,10.47,10.64,12.02,17.2,16.74,19.73,31.41
228,1220021800,스탈릿대치R,서울특별시 강남구 남부순환로 2947 (대치동)1522-3232,37.494668,127.062583,남부순환로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,대치1동,남부순환로,28358,37.494668,127.062583,20210712,월,삼성로,1220021800,은마아파트입구,대치역,상행,527,4,보조간선도로,외곽,강남구,32.74,35.73,44.76,32.01,38.21,25.28,24.61,21.82,19.57,19.67,21.16,22.68,26.12,18.28,19.15,18.16,16.52,16.52,14.84,16.07,16.99,17.69,18.12,31.13
235,1220021800,스탈릿대치R,서울특별시 강남구 남부순환로 2947 (대치동)1522-3232,37.494668,127.062583,남부순환로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,대치1동,남부순환로,28358,37.494668,127.062583,20210719,월,삼성로,1220021800,은마아파트입구,대치역,상행,527,4,보조간선도로,외곽,강남구,32.97,29.89,42.44,39.88,40.89,30.43,23.59,22.49,20.46,17.49,17.34,21.59,17.48,16.11,13.73,16.24,12.34,14.88,13.49,13.56,17.13,16.67,17.63,31.62
