store_name,lat,lot
한남동R,37.53485,127.010919
낙성대DT,37.476169,126.965005
신당역사거리,37.565807,127.01643
대치은마사거리,37.498973,127.060172
연세세브란스,37.557207,126.97354
강동역,37.536047,127.133086
송파방이DT,37.506564,127.120495
목동오목로,37.525923,126.868438
화곡DT,37.535149,126.863232
남영동,37.542831,126.972242
양천향교역,37.566964,126.840731
미아뉴타운,37.618319,127.021072
마포염리,37.543876,126.94768
국회의사당역,37.527831,126.916882
중앙대,37.506933,126.958125
강남우성,37.492396,127.03091
서강대흥역,37.548178,126.941576
송파구청,37.514573,127.107404
동대입구역,37.559593,127.006142
여의도공원R,37.529231,126.924872
서울대역,37.481599,126.9522
청담스타R,37.525216,127.041827
영등포KT,37.526419,126.905314
목동8단지,37.520518,126.868841
청담영동대로,37.522156,127.056449
서강광흥창역,37.549377,126.931661
신사가로수,37.521933,127.022521
상왕십리역,37.565169,127.027907
용산파크타워,37.523818,126.970389
외대정문,37.5953464,127.0590302
동대문공원,37.565133,127.007191
연희동,37.566702,126.930475
연신내,37.620417,126.919913
구로디지털타워,37.483432,126.89648
금천시흥,37.448624,126.903183
강남구청정문,37.518181,127.045995
강남대로신사,37.51489,127.019469
홍제역,37.588658,126.943864
잠실대교남단R,37.515511,127.099006
서울고속터미널,37.504406,127.005648
가양역,37.56164,126.853327
답십리역,37.568466,127.051106
강남대로논현R,37.507413,127.022568
미아,37.607581,127.029303
황학사거리,37.567644,127.023697
스타필드코엑스몰R,37.50999,127.061455
을지로내외빌딩R,37.566479,126.983663
마곡GMG,37.560487,126.829667
독산사거리,37.471511,126.898775
문정역,37.484813,127.122237
대우재단빌딩,37.556781,126.975081
문정하비오,37.481925,127.123446
경희대삼거리,37.591531,127.052017
신세계본점5F,37.560951,126.981134
아현역,37.558421,126.956349
송파위례,37.478264,127.144067
이수역사거리,37.48585,126.983027
국회대로,37.53026,126.919549
공릉역,37.626337,127.072252
을지로국제빌딩,37.566952,126.982219
성수역,37.543193,127.056943
신용산역,37.528702,126.966757
목동역,37.526684,126.863986
강남오거리,37.502117,127.026672
강남R,37.497711,127.028439
도곡공원,37.492805,127.041309
노원마들역,37.660941,127.058008
마곡나루역,37.56813,126.82614
이촌,37.518605,126.977271
신대방삼거리역,37.499914,126.931766
올림픽대교북단,37.541129,127.09524
신도림,37.505517,126.883953
홍대공항철도역,37.557491,126.925146
뚝섬역,37.546432,127.049042
신림DT,37.480935,126.908407
신촌역,37.556167,126.934673
서초우성사거리,37.493545,127.02943
연신내역사거리,37.61862,126.922062
더종로R,37.570804,126.983494
방화DT,37.574339,126.816415
신정DT,37.521993,126.858865
여의도화재보험,37.521345,126.926004
독립문역,37.571432,126.961269
홍대입구역사거리R,37.554636,126.92036
공덕,37.545913,126.952956
서초구청,37.484206,127.030103
정부서울청사R,37.574411,126.973571
여의도KBS R,37.526596,126.918456
마포경찰서후문,37.5508,126.953432
구파발사거리,37.639617,126.91881
한강진역R,37.537131,127.00098
용산역써밋R,37.527586,126.965401
