store_name,store_address,lat,lot,도로,길,Z_KAIS_TL_SPRD_MANAGE_11000_ALWNC_DE,Z_KAIS_TL_SPRD_MANAGE_11000_ALWNC_RESN,Z_KAIS_TL_SPRD_MANAGE_11000_BSI_INT,Z_KAIS_TL_SPRD_MANAGE_11000_ENG_RN,Z_KAIS_TL_SPRD_MANAGE_11000_MVMN_DE,Z_KAIS_TL_SPRD_MANAGE_11000_MVMN_RESN,Z_KAIS_TL_SPRD_MANAGE_11000_MVM_RES_CD,Z_KAIS_TL_SPRD_MANAGE_11000_NTFC_DE,Z_KAIS_TL_SPRD_MANAGE_11000_OPERT_DE,Z_KAIS_TL_SPRD_MANAGE_11000_RBP_CN,Z_KAIS_TL_SPRD_MANAGE_11000_RDS_DPN_SE,Z_KAIS_TL_SPRD_MANAGE_11000_RDS_MAN_NO,Z_KAIS_TL_SPRD_MANAGE_11000_REP_CN,Z_KAIS_TL_SPRD_MANAGE_11000_RN_CD,Z_KAIS_TL_SPRD_MANAGE_11000_ROAD_BT,Z_KAIS_TL_SPRD_MANAGE_11000_ROAD_LT,Z_KAIS_TL_SPRD_MANAGE_11000_ROA_CLS_SE,Z_KAIS_TL_SPRD_MANAGE_11000_SIG_CD,Z_KAIS_TL_SPRD_MANAGE_11000_WDR_RD_CD
청담스타R,서울특별시 강남구 도산대로57길 24 (청담동)1522-3232,"37.525216","127.041827",도산대로57길,,"20101018",도산대로 시점에서 57번째 분기된 도로,"18",Dosan-daero 57-gil,"20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225533",청담동 87-11,"0","386",청담동 89-4,"4166287",12.00000000,221.00000000,"4","11680","3"
강남우성,서울특별시 강남구 강남대로 328 (역삼동)1522-3232,"37.492396","127.03091",강남대로,,"20090701",행정구역 명칭 사용,"10",Gangnam-daero,"20141030",기재내용정정,"71","20090710","20181116105004",서울특별시 서초구 양재동 238-1(염곡사거리),"1","2091",서울특별시 용산구 한남동 782(한강대교북단),"2102001",6.00000000,7820.00000000,"2","11650","2"
학동사거리,서울특별시 강남구 도산대로 328 (논현동)1522-3232,"37.5223645","127.0379543",도산대로,,"20080901","일제시대 독립운동가인 안창호 선생의 호 도산을 인용, 도산대로변에는 도산의 묘원인 도산공원이 위치함","20",Dosan-daero,"20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20080926","20141030225533",강남구 신사동 501-2,"0","17",청담동 130,"2122001",50.00000000,3262.00000000,"2","11680","3"
대치사거리,서울특별시 강남구 삼성로 402 (대치동)1522-3232,"37.503331","127.058817",삼성로,,"20100419",삼성동 행정구역명을 인용하여  제정,"20",Samseong-ro,"20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20100422","20141030225534",개포동 191,"1","1420",청담동 48,"3122005",4.00000000,64.00000000,"3","11680","3"
포스코사거리,서울특별시 강남구 테헤란로 505 (삼성동) 화진빌딩1522-3232,"37.5075307","127.0574271",테헤란로,,"20100419",테헤란시와 서울시의 자매결연을 기념 상호 도시명을 도로명으로 제정,"20",Teheran-ro,"20141030",직권수정(속성변경),"99","20100422","20160607095026",역삼동 821,"0","13",삼성동 171-3,"3122010",50.00000000,3898.00000000,"2","11680","3"
을지병원사거리,"서울특별시 강남구 논현로 752 (논현동,구산빌딩)1522-3232","37.5191632","127.0286446",논현로,,"20100520",행정구역명칭 인용,"20",Nonhyeon-ro,"20141117",기재내용정정,"71","20100520","20181107140150",서울특별시 서초구 양재동 402-6(양재대로),"0","26",서울특별시 성동구 옥수동 487(동호대교 북단),"3121022",30.00000000,8300.00000000,"3","11680","2"
신사역,서울특별시 강남구 도산대로 108 (논현동) 렉스타워1522-3232,"37.5162021","127.0207428",도산대로,,"20080901","일제시대 독립운동가인 안창호 선생의 호 도산을 인용, 도산대로변에는 도산의 묘원인 도산공원이 위치함","20",Dosan-daero,"20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20080926","20141030225533",강남구 신사동 501-2,"0","17",청담동 130,"2122001",50.00000000,3262.00000000,"2","11680","3"
도곡역,서울특별시 강남구 남부순환로 2909 (대치동)1522-3232,"37.492167","127.057398",남부순환로,,"20090710",서울의 남쪽을 연결하는 도로,"10",Nambusunhwan-ro,"20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20100315","20141030225218",신림동 1673,"1","3260",남현동 1130-1,"2000003",5.00000000,32620.00000000,"2","11620","1"
서울세관사거리,서울특별시 강남구 언주로 650 (논현동) 한국건설기술인협회1522-3232,"37.514887","127.035653",언주로,,"20090701",옛 지명 인용,"20",Eonju-ro,"20141030",기재내용정정,"71","20090710","20181116105137",서울특별시 서초구 내곡동 산12-431(인능산1자연공원),"1","1455",서울특별시 강남구 압구정동 480,"3005086",4.00000000,12080.00000000,"3","11650","2"
청담사거리,서울특별시 강남구 도산대로 458 (청담동) 리츠타워1522-3232,"37.5236351","127.0468651",도산대로,,"20080901","일제시대 독립운동가인 안창호 선생의 호 도산을 인용, 도산대로변에는 도산의 묘원인 도산공원이 위치함","20",Dosan-daero,"20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20080926","20141030225533",강남구 신사동 501-2,"0","17",청담동 130,"2122001",50.00000000,3262.00000000,"2","11680","3"
한티역,"서울특별시 강남구 도곡로 408, 디마크빌딩 101호 (대치동)1522-3232","37.496801","127.055055",도곡로,,"20100422",행정구역 명칭 사용,"20",Dogok-ro,"20141117",누락된 부여일자 입력,"71","20100422","20181107140310",서울특별시 강남구 도곡동 943(강남대로),"0","11",서울특별시 송파구 잠실동 294 (백제고분로),"3122012",40.00000000,4700.00000000,"3","11680","2"
역삼초교사거리,서울특별시 강남구 역삼로 123 (역삼동)1522-3232,"37.4941059","127.0329973",역삼로,,"20100419",행정구역 명칭 적용,"20",Yeoksam-ro,"20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20100422","20141030225536",역삼동 831-16,"1","1191",대치동 1004-3,"3122008",20.00000000,3607.00000000,"3","11680","3"
코엑스몰,서울특별시 강남구 영동대로 513 (삼성동) O103호1522-3232,"37.513715","127.059245",영동대로,,"20100419",영등포의 동쪽 지역을 의미하는 영동이라는 지명에서 유래,"20",Yeongdong-daero,"20141030",기재내용정정,"71","20100422","20181107140506",서울특별시 강남구 개포동 192-1,"0","6",서울특별시 성동구 성수동2가 158-1(영동대교 북단),"2122002",70.00000000,5683.00000000,"2","11680","2"
가로수길,"서울특별시 강남구 논현로175길 94, 1~2층 (신사동)1522-3232","37.5231593","127.021625",논현로175길,,"20101018",논현로 시점에서 175번째 분기된 도로,"16",Nonhyeon-ro 175-gil,"20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225532",신사동 581-15,"1","1053",신사동 528,"4166161",4.00000000,57.00000000,"4","11680","3"
역삼대로,"서울특별시 강남구 테헤란로 211, 한국고등교육재단빌딩 1층 (역삼동)1522-3232","37.501623","127.039375",테헤란로,,"20100419",테헤란시와 서울시의 자매결연을 기념 상호 도시명을 도로명으로 제정,"20",Teheran-ro,"20141030",직권수정(속성변경),"99","20100422","20160607095026",역삼동 821,"0","13",삼성동 171-3,"3122010",50.00000000,3898.00000000,"2","11680","3"
