,LINK_ID,store_name,store_addr,lat_x,lot_x,도로_x,layer,path,지역,구로구,동,도로_y,유동인구_평균,lat_y,lot_y
47,1220014300,SSG마켓도곡R,"서울특별시 강남구 언주로30길 57, 타워팰리스Ⅱ F 지하1층 (도곡동)1522-3232",37.490298,127.054895,언주로30길,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,도곡2동,언주로30길,30953,37.490298,127.054895
48,1220014200,SSG마켓도곡R,"서울특별시 강남구 언주로30길 57, 타워팰리스Ⅱ F 지하1층 (도곡동)1522-3232",37.490298,127.054895,언주로30길,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,도곡2동,언주로30길,30953,37.490298,127.054895
49,1220026800,삼성,"서울특별시 강남구 테헤란로 443, 애플트리타워 1층 (삼성동)1522-3232",37.50703529,127.0555503,테헤란로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,삼성2동,테헤란로,38899,37.50703529,127.0555503
50,1220034400,압구정역,"서울특별시 강남구 압구정로 170, 관영빌딩 1층 지하1층 (신사동)1522-3232",37.52674095,127.0281105,압구정로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,신사동,압구정로,34464,37.52674095,127.0281105
51,1220034500,압구정역,"서울특별시 강남구 압구정로 170, 관영빌딩 1층 지하1층 (신사동)1522-3232",37.52674095,127.0281105,압구정로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,신사동,압구정로,34464,37.52674095,127.0281105
52,1220020600,구역삼사거리,서울특별시 강남구 논현로 401 (역삼동)1522-3232,37.49592355,127.0388645,논현로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,역삼1동,논현로,97922,37.49592355,127.0388645
53,1220022900,구역삼사거리,서울특별시 강남구 논현로 401 (역삼동)1522-3232,37.49592355,127.0388645,논현로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,역삼1동,논현로,97922,37.49592355,127.0388645
54,1220019900,구역삼사거리,서울특별시 강남구 논현로 401 (역삼동)1522-3232,37.49592355,127.0388645,논현로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,역삼1동,논현로,97922,37.49592355,127.0388645
55,1220025200,큰길타워,"서울특별시 강남구 테헤란로 223, 큰길타워빌딩 (역삼동)1522-3232",37.50236693,127.0407,테헤란로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,역삼1동,테헤란로,97922,37.50236693,127.0407
56,1220031000,강남구청역,"서울특별시 강남구 선릉로 669, 웰빙센터 1층 (논현동)1522-3232",37.5165849,127.0412433,선릉로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,논현2동,선릉로,41704,37.5165849,127.0412433
