LINK_ID,X,Y
1120011400,193045.67,453123.07
1120011400,193385.66,453417.79
1120011400,193543.8,453557.13
1120011300,193535.87,453566.14
1120011300,193377.77,453426.82
1120011300,193037.81,453132.14
1120009100,193037.04,453130.43
1120009100,192952.74,453045.34
1120009100,192941.22,453031.83
1120009100,192805.11,452892.55
1120009100,192792.59,452882.68
1120008100,192023.61,453147.16
1120008100,192092.8,453071.64
1120008100,192265.68,452898.33
1120008100,192302.82,452876.14
1120008100,192324.59,452867.6
1120008200,192738.7,452824.81
1120008200,192722.64,452837.98
1120008200,192705.59,452843.24
1120008200,192643.19,452840.11
1120008200,192625.1,452851.64
1120010800,192031.15,453155.71
1120010800,191887.13,453275.77
1120010800,191758.83,453382.82
1120010800,191707.5,453421.72
1120010800,191696.11,453437.14
1150015700,186460.889698,451307.599641
1150015700,186517.865548,451413.49365
1150015700,186574.841398,451519.387659
1150015700,186650.809198,451660.579671
1150015600,186640.241712,451666.265464
1150015600,186583.265862,451560.371455
1150015600,186526.290012,451454.477447
1150015600,186450.322212,451313.285435
1150013500,186266.739203,450945.660778
1150013500,186324.985428,451054.244441
1150013500,186383.231652,451162.828103
1150013500,186460.893286,451307.606319
1150013400,186450.318625,451313.278757
1150013400,186392.0724,451204.695095
1150013400,186333.826175,451096.111433
1150013400,186256.164542,450951.333216
1040010400,208466.612014,449071.251579
1040010400,208524.275269,449016.329642
1040010500,208532.821776,449024.761519
1040010500,208474.888235,449079.940892
1030007800,202991.143654,449474.098158
1030007800,202994.362399,449482.145524
1030007800,202985.922174,449499.025974
1030007800,202987.073113,449508.617139
1030007800,202993.584185,449516.560366
1030009600,203245.024821,449731.098402
1030009600,203251.747515,449766.334799
1030009600,203261.272534,449794.51298
1030009600,203287.157867,449842.53603
1030009600,203305.459697,449872.548069
1004350800,203330.549077,449911.148133
1004350800,203353.833,449939.373723
1004350800,203422.095637,450018.219714
1004350800,203449.612358,450044.678101
1004350800,203476.599912,450067.961481
1030007700,203232.877315,449738.688798
1030007700,203199.641754,449721.891123
1030007700,203136.5819,449641.197009
1030007700,203085.279694,449589.332454
1030007700,202989.009268,449521.47646
1030012100,203889.676961,450220.951283
1030012100,203965.671449,450208.295298
1030012100,204057.971254,450220.490577
1030012100,204186.557104,450234.555741
1030012100,204270.269372,450233.11047
1030010700,204607.741063,450144.196937
1030010700,204674.051373,450125.171489
1030010700,204729.824176,450108.810868
1030010700,204820.796529,450061.974981
1030010700,204955.115693,449990.778795
1030010100,205150.868498,449911.29796
1030010100,205193.876693,449896.183052
1030010100,205294.664322,449870.530086
1030010100,205365.499272,449858.513605
1030010100,205412.499014,449848.45488
1030010000,205541.030227,449838.454347
1030010000,205663.699823,449842.551974
1030010000,205764.134703,449846.641643
1030010000,205962.018802,449863.853484
1040013600,205961.617161,449863.832081
1040013600,205994.86215,449864.48754
1040013600,206229.339806,449832.980203
1040013400,206229.108783,449833.01584
1040013400,206347.913688,449812.312086
1040013400,206386.02081,449804.108502
1040013400,206431.271591,449789.163968
1040013400,206551.615752,449748.019113
1040013000,206551.600165,449748.024466
1040013000,206614.024111,449726.490452
1040013000,206634.15961,449716.394914
1040013000,206764.864087,449636.020298
1040013000,206824.032853,449597.615623
1040012800,207537.949032,449507.245772
1040012800,207702.061712,449494.90556
1040012800,207929.978279,449480.028089
1040012800,207960.083345,449478.013267
1040012800,208012.179605,449464.671912
1040012600,208011.647125,449464.834952
1040012600,208101.277267,449432.771068
1040012600,208187.818613,449390.637472
1040012600,208214.28261,449369.027325
1040012600,208328.453274,449241.483623
1040011400,208328.264322,449241.705308
1040011400,208369.612218,449190.738554
1040011400,208410.960113,449139.7718
1040011400,208466.090641,449071.816127
1040009400,208524.275269,449016.329642
1040009400,208532.734128,449008.272917
1040009400,208598.856243,448945.294256
1040009400,208687.019168,448861.322606
1040009400,208739.52187,448811.318323
1040009500,208832.996723,448716.248306
1040009500,208748.332766,448819.498405
1040009500,208695.295178,448870.01212
1040009500,208629.173169,448932.990681
1040009500,208563.051055,448995.969343
1040011500,208475.409608,449079.376343
1040011500,208434.061712,449130.343097
1040011500,208392.713816,449181.309851
1040011500,208337.583288,449249.265524
1040012700,208337.394336,449249.487209
1040012700,208222.598549,449377.729257
1040012700,208194.326979,449400.815444
1040012700,208105.938649,449443.848265
1040012700,208015.6891,449476.133733
1040012900,208015.156621,449476.296773
1040012900,207961.988574,449489.912602
1040012900,207930.769765,449492.001963
1040012900,207702.902448,449506.876219
1040012900,207538.848815,449519.211991
1040013100,207538.766446,449519.217615
1040013100,207246.287104,449537.166783
1040013100,207040.860109,449553.081628
1040013100,206966.020402,449570.574174
1040013100,206909.356148,449586.626302
1040013500,206555.497849,449759.373818
1040013500,206435.094345,449800.538961
1040013500,206389.174152,449815.704576
1040013500,206350.207393,449824.09322
1040013500,206231.168936,449844.837675
1040013700,206230.937913,449844.873312
1040013700,205995.546945,449876.503374
1040013700,205961.380615,449875.82975
1030009900,205960.978975,449875.808347
1030009900,205763.370268,449858.62046
1030009900,205663.255391,449854.543821
1030009900,205540.629605,449850.447658
1030010200,205541.239766,449850.436988
1030010200,205497.734333,449853.415728
1030010200,205414.25858,449860.350045
1030010200,205367.759478,449870.301625
1030010200,205297.15189,449882.279537
1030010800,205154.956107,449922.579717
1030010800,205012.984546,449975.57407
1030010800,204960.584368,450001.461627
1030010800,204826.353117,450072.611215
1030010800,204734.299802,450120.00362
1030012200,204611.016865,450155.741108
1030012200,204369.921365,450223.396057
1030012200,204271.680676,450245.087893
1030012200,204186.006076,450246.567042
1030012200,204056.532734,450232.404802
1004350700,203889.754192,450232.800602
1004350700,203863.421519,450236.236817
1004350700,203831.142288,450236.236817
1004350700,203794.100547,450232.003475
1004350700,203756.529639,450222.478456
1030009500,203322.082937,449917.677847
1030009500,203299.857892,449883.281945
1030009500,203280.278686,449850.473546
1030009500,203248.969384,449792.131725
1030009500,203246.588129,449768.319178
1010009100,198179.530013,451600.370087
1010009100,198207.107836,451598.343111
1010009100,198290.695875,451609.107079
1010009100,198394.608593,451576.449659
1010009100,198417.998804,451567.372964
1010009200,198423.061038,451574.234286
1010009200,198399.303398,451583.453564
1010009200,198292.499307,451617.019677
1010009200,198207.49898,451606.073843
1010009200,198181.130622,451608.011922
1060002300,207044.610705,455558.088447
1060002300,207093.248234,455256.360605
1060002300,207085.731378,455053.087369
1040005100,206750.650499,451636.504966
1040005100,206678.656497,451476.638493
1040005100,206606.662494,451316.77202
1040005100,206510.67049,451103.616723
1040001300,205649.609081,449190.665723
1040001300,205574.439141,449024.934823
1040001300,205499.269202,448859.203924
1040001300,205399.042617,448638.229391
1100006500,204892.9037,465232.191808
1100006500,204887.587005,464950.377655
1100006500,204882.270309,464668.563502
1100006500,204875.181382,464292.811297
1100005700,204875.180571,464292.753596
1100005700,204871.942337,463942.530879
1100005700,204871.976454,463884.689665
1100005700,204873.520322,463851.608244
1100005700,204881.138507,463802.916105
1100005500,204960.287085,463427.32508
1100005500,204982.718334,463322.32444
1100005500,205005.149583,463217.323799
1100005500,205035.057915,463077.322945
1100005100,205035.059498,463077.315556
1100005100,205054.836866,462985.305035
1100005100,205074.614234,462893.294513
1100005100,205100.984058,462770.613818
1100004500,205100.975612,462770.653769
1100004500,205124.492954,462657.500943
1100004500,205148.010295,462544.348117
1100004500,205179.366751,462393.477682
1100004300,205179.375201,462393.437706
1100004300,205219.090386,462208.673999
1100004300,205258.80557,462023.910292
1100004300,205311.75915,461777.558683
1100003900,205311.751587,461777.594396
1100003900,205320.840025,461734.024442
1100003900,205329.928463,461690.454488
1100003900,205342.046381,461632.361217
1100003500,205342.047771,461632.35457
1100003500,205362.124874,461536.647004
1100003500,205382.201978,461440.939439
1100003500,205408.971449,461313.329352
1100003100,205408.981461,461313.282558
1100003100,205455.715713,461099.019445
1100003100,205479.801143,461039.5451
1100002700,205479.799444,461039.549298
1100002700,205526.263181,460924.566615
1100002700,205572.726918,460809.583932
1100002700,205634.678568,460656.273688
1100002300,205634.59658,460656.488325
1100002300,205657.810013,460592.042624
1100002300,205681.023446,460527.596922
1100002300,205711.974691,460441.66932
1100002100,205711.967205,460441.690226
1100002100,205741.139147,460359.752518
1100002100,205770.311089,460277.81481
1100002100,205809.207012,460168.564533
1100001700,205809.210403,460168.555034
1100001700,205837.896196,460088.409434
1100001700,205866.581989,460008.263834
1100001700,205904.829713,459901.403033
1100001500,205904.837577,459901.381195
1100001500,205937.92782,459810.045137
1100001500,205971.018062,459718.709078
1100001500,206015.138385,459596.927667
1100001100,206015.128777,459596.954383
1100001100,206064.631762,459458.27011
1100001100,206123.639097,459292.957118
1100000900,206123.639097,459292.957118
1100000900,206261.126313,458906.728036
1100000900,206296.770926,458816.898507
1100000700,206296.737623,458816.98435
1100000700,206338.94548,458705.66101
1100000700,206381.153337,458594.337671
1100000700,206437.430479,458445.906551
1100000300,206437.252058,458446.455438
1100000300,206504.762399,458198.838365
1100000300,206674.640821,457565.489121
1060005900,206674.619308,457565.571667
1060005900,206683.720886,457529.602601
1060005900,206692.822464,457493.633536
1060005900,206704.957901,457445.674782
1060005400,206704.936095,457445.763813
1060005400,206713.246752,457410.674801
1060005400,206721.557409,457375.585789
1060005400,206732.638286,457328.80044
1060005000,206732.672955,457328.661477
1060005000,206762.895752,457213.39675
1060005000,206793.118548,457098.132023
1060005000,206833.415611,456944.445721
1060004400,206833.329469,456944.823605
1060004400,206846.522835,456876.890496
1060004400,206899.702554,456520.266357
1060004200,206899.707526,456520.233631
1060004200,206914.48836,456424.728024
1060004200,206929.269194,456329.222417
1060004200,206948.976972,456201.881607
1060003700,206948.98112,456201.855195
1060003700,206969.097281,456075.600466
1060003700,206989.213442,455949.345738
1060003700,207016.03499,455781.0061
1060003500,207016.008949,455781.187286
1060003500,207024.581145,455714.315225
1060003500,207033.153341,455647.443164
1060003500,207044.582936,455558.280416
1060001500,207085.731379,455053.08738
1060001500,207083.426173,454990.752499
1060001500,207081.120966,454928.417617
1060001500,207078.047358,454845.304442
1060000900,207078.048911,454845.343076
1060000900,207075.425035,454784.934801
1060000900,207072.801158,454724.526526
1060000900,207069.302656,454643.982159
1060000700,207069.300155,454643.916198
1060000700,207064.262644,454488.525117
1060000700,207059.225134,454333.134036
1060000700,207052.508453,454125.945928
1060000500,207052.508627,454125.951219
1060000500,207046.70349,453951.630864
1060000500,207040.898354,453777.310509
1060000500,207033.158173,453544.883369
1060000300,207033.16056,453544.945413
1060000300,207019.736816,453237.522432
1060000300,207039.27342,453010.613668
1060000100,207039.275558,453010.589412
1060000100,207078.254609,452578.395805
1060000100,207079.031381,452534.286936
1060000100,207067.406033,452468.893945
1030002100,206510.670708,451103.617207
1030002100,206344.277977,450734.220582
1030002100,206177.885245,450364.823958
1030002100,205956.02827,449872.295126
1030001500,205956.026416,449872.291007
1030001500,205864.098738,449667.797934
1030001500,205772.171059,449463.304862
1030001500,205649.600821,449190.647432
1030000200,205233.339855,448234.389756
1030000200,205337.486101,448468.978858
1030000200,205410.142934,448633.498072
1040001400,205409.971042,448633.272626
1040001400,205485.140981,448799.003526
1040001400,205560.31092,448964.734425
1040001400,205660.537506,449185.708958
1030001600,205660.545765,449185.727249
1030001600,205752.473444,449390.220322
1030001600,205844.401122,449594.713394
1030001600,205966.97136,449867.370824
1030002200,205966.969507,449867.366705
1030002200,206133.362238,450236.763329
1030002200,206299.754969,450606.159953
1030002200,206521.611945,451098.688785
1040005200,206521.612162,451098.689269
1040005200,206593.606165,451258.555742
1040005200,206665.600168,451418.422214
1040005200,206761.592172,451631.577512
1040005400,206761.593436,451631.58032
1040005400,206979.130051,452115.294773
1040005400,207022.474976,452215.439087
1040005400,207059.089225,452337.690834
1040005400,207079.241757,452466.919255
1060000200,207079.220785,452466.793557
1060000200,207091.050032,452533.333486
1060000200,207090.245104,452579.041241
1060000200,207051.22705,453011.667303
1060000400,207051.229188,453011.643047
1060000400,207031.759342,453237.776442
1060000400,207045.149136,453544.421927
1060000600,207045.151524,453544.483972
1060000600,207050.95666,453718.804327
1060000600,207056.761797,453893.124682
1060000600,207064.501978,454125.551822
1060000800,207064.502152,454125.557113
1060000800,207069.539663,454280.948194
1060000800,207074.577173,454436.339275
1060000800,207081.293854,454643.527383
1060001000,207081.291352,454643.461422
1060001000,207083.915229,454703.869697
1060001000,207086.539105,454764.277972
1060001000,207090.037607,454844.822338
1060001600,207090.039161,454844.860973
1060001600,207092.344367,454907.195854
1060001600,207094.649573,454969.530736
1060001600,207097.723182,455052.643911
1060002400,207097.723182,455052.643923
1060002400,207105.283811,455257.100879
1060002400,207056.457772,455559.998156
1060003600,207056.485541,455559.806187
1060003600,207047.913345,455626.678248
1060003600,207039.341149,455693.550309
1060003600,207027.911555,455782.713057
1060003800,207027.885514,455782.894243
1060003800,207007.769353,455909.148972
1060003800,206987.653192,456035.4037
1060003800,206960.831644,456203.743338
1060004300,206960.835792,456203.716926
1060004300,206946.054958,456299.222533
1060004300,206931.274124,456394.72814
1060004300,206911.566346,456522.06895
1060004500,206911.571318,456522.036224
1060004500,206858.352838,456878.920297
1060004500,206845.109369,456947.111393
1060005100,206845.023227,456947.489277
1060005100,206814.800431,457062.754004
1060005100,206784.577634,457178.01873
1060005100,206744.280572,457331.705033
1100000400,206686.231139,457568.597903
1100000400,206516.346318,458201.971005
1100000400,206448.82948,458449.611908
1100000800,206448.651059,458450.160795
1100000800,206406.443202,458561.484135
1100000800,206364.235345,458672.807474
1100000800,206307.958203,458821.238594
1100001000,206307.924901,458821.324436
1100001000,206272.360769,458910.951141
1100001000,206135.21417,459296.603447
1100001200,206135.21417,459296.603447
1100001200,206092.434359,459416.076097
1100001200,206026.43038,459600.98846
1100001600,206026.420772,459601.015176
1100001600,205993.33053,459692.351234
1100001600,205960.240288,459783.687293
1100001600,205916.119965,459905.468704
1100001800,205916.127829,459905.446866
1100001800,205887.442036,459985.592466
1100001800,205858.756243,460065.738067
1100001800,205820.508519,460172.598867
1100002200,205820.511909,460172.589369
1100002200,205791.339967,460254.527076
1100002200,205762.168025,460336.464784
1100002200,205723.272102,460445.715062
1100002400,205723.264615,460445.735967
1100002400,205700.051182,460510.181669
1100002400,205676.837748,460574.62737
1100002400,205645.886504,460660.554972
1100003200,205490.923692,461044.049418
1100003200,205467.222127,461102.575882
1100003200,205420.70581,461315.839828
1100003600,205420.715821,461315.793034
1100003600,205400.638718,461411.500599
1100003600,205380.561614,461507.208164
